New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'mechanicallove_rbn'
Differences found in track 'PART BASS':
Time: 17160, removed: EXPERT Blue
Time: 201600, removed: HARD Red, EXPERT Red, MEDIUM Red, added: HARD Blue, MEDIUM Yellow, EXPERT Blue
Time: 201720, removed: HARD Red, EXPERT Red, MEDIUM Red, added: HARD Blue, MEDIUM Yellow, EXPERT Blue
Time: 201840, removed: HARD Red, EXPERT Red, added: HARD Blue, EXPERT Blue
Time: 201960, removed: HARD Red, EXPERT Red, added: HARD Blue, EXPERT Blue
Time: 202080, removed: EXPERT Red, added: EXPERT Blue
Time: 202200, removed: EXPERT Red, added: EXPERT Blue
Time: 202320, removed: MEDIUM Green, EXPERT Green, HARD Green, added: HARD Red, EXPERT Red, MEDIUM Red
Time: 202440, removed: MEDIUM Green, EXPERT Green, HARD Green, added: HARD Red, EXPERT Red, MEDIUM Red
Time: 202560, removed: EXPERT Green, HARD Green, added: HARD Red, EXPERT Red
Time: 202680, removed: EXPERT Green, HARD Green, added: HARD Red, EXPERT Red
Time: 202800, removed: EXPERT Green, added: EXPERT Red
Time: 202920, removed: EXPERT Green, added: EXPERT Red
Time: 203040, removed: HARD Red, EXPERT Red, MEDIUM Red, added: HARD Blue, MEDIUM Yellow, EXPERT Blue
Time: 203160, removed: HARD Red, EXPERT Red, MEDIUM Red, added: HARD Blue, MEDIUM Yellow, EXPERT Blue
Time: 203280, removed: HARD Red, EXPERT Red, added: HARD Blue, EXPERT Blue
Time: 203400, removed: HARD Red, EXPERT Red, added: HARD Blue, EXPERT Blue
Time: 203520, removed: EXPERT Red, added: EXPERT Blue
Time: 203640, removed: EXPERT Red, added: EXPERT Blue
Time: 203760, removed: MEDIUM Green, EXPERT Green, HARD Green, added: HARD Red, EXPERT Red, MEDIUM Red
Time: 203880, removed: MEDIUM Green, EXPERT Green, HARD Green, added: HARD Red, EXPERT Red, MEDIUM Red
Time: 204000, removed: EXPERT Green, HARD Green, added: HARD Red, EXPERT Red
Time: 204120, removed: EXPERT Green, HARD Green, added: HARD Red, EXPERT Red
Time: 204240, removed: EXPERT Green, added: EXPERT Red
Time: 204360, removed: EXPERT Green, added: EXPERT Red
Time: 204480, removed: HARD Blue, added: HARD Orange
Time: 204600, removed: HARD Blue, added: HARD Orange
Time: 204960, removed: HARD Blue, added: HARD Orange
Time: 205080, removed: HARD Blue, added: HARD Orange
Time: 211200, added: HARD Green
Time: 211200, added: MEDIUM Green
Time: 211200, added: EXPERT Green
Time: 211200, added: EASY Green
Time: 211215, removed: HARD Green
Time: 211215, removed: MEDIUM Green
Time: 211215, removed: EXPERT Green
Time: 211215, removed: EASY Green
Time: 211320, added: HARD Green
Time: 211320, added: MEDIUM Green
Time: 211320, added: EXPERT Green
Time: 211320, added: EASY Green
Time: 211335, removed: HARD Green
Time: 211335, removed: MEDIUM Green
Time: 211335, removed: EXPERT Green
Time: 211335, removed: EASY Green
Time: 211440, added: EXPERT Green
Time: 211440, added: HARD Green
Time: 211453, removed: EXPERT Green
Time: 211453, removed: HARD Green
Time: 211560, added: EXPERT Green
Time: 211560, added: HARD Green
Time: 211573, removed: EXPERT Green
Time: 211573, removed: HARD Green
Time: 211920, added: EXPERT Green
Time: 211921, removed: EXPERT Green
Time: 212040, added: EXPERT Green
Time: 212041, removed: EXPERT Green
Time: 212160, added: HARD Orange
Time: 212160, added: MEDIUM Blue
Time: 212160, added: EASY Yellow
Time: 212160, added: EXPERT Orange
Time: 212174, removed: HARD Orange
Time: 212174, removed: MEDIUM Blue
Time: 212174, removed: EASY Yellow
Time: 212174, removed: EXPERT Orange
Time: 212280, added: HARD Orange
Time: 212280, added: MEDIUM Blue
Time: 212280, added: EASY Yellow
Time: 212280, added: EXPERT Orange
Time: 212294, removed: HARD Orange
Time: 212294, removed: MEDIUM Blue
Time: 212294, removed: EASY Yellow
Time: 212294, removed: EXPERT Orange
Time: 212638, removed: HARD Blue
Time: 212638, removed: MEDIUM Yellow
Time: 212638, removed: EXPERT Blue
Time: 212640, added: HARD Blue
Time: 212640, added: MEDIUM Yellow
Time: 212640, added: EXPERT Blue
Time: 212758, removed: HARD Blue
Time: 212758, removed: MEDIUM Yellow
Time: 212758, removed: EXPERT Blue
Time: 212760, added: HARD Blue
Time: 212760, added: MEDIUM Yellow
Time: 212760, added: EXPERT Blue
Time: 212863, removed: EXPERT Blue
Time: 212880, added: EXPERT Blue
Time: 212983, removed: EXPERT Blue
Time: 213000, added: EXPERT Blue
Time: 213108, removed: HARD Red
Time: 213108, removed: EASY Red
Time: 213108, removed: EXPERT Red
Time: 213108, removed: MEDIUM Red
Time: 213120, added: HARD Red
Time: 213120, added: EASY Red
Time: 213120, added: EXPERT Red
Time: 213120, added: MEDIUM Red
Time: 213228, removed: HARD Red
Time: 213228, removed: EASY Red
Time: 213228, removed: EXPERT Red
Time: 213228, removed: MEDIUM Red
Time: 213240, added: HARD Red
Time: 213240, added: EASY Red
Time: 213240, added: EXPERT Red
Time: 213240, added: MEDIUM Red
Time: 213329, removed: HARD Red
Time: 213329, removed: EXPERT Red
Time: 213360, added: HARD Red
Time: 213360, added: EXPERT Red
Time: 213449, removed: HARD Red
Time: 213449, removed: EXPERT Red
Time: 213480, added: HARD Red
Time: 213480, added: EXPERT Red
Time: 213582, removed: HARD Red
Time: 213582, removed: EXPERT Red
Time: 213582, removed: MEDIUM Red
Time: 213600, added: HARD Red
Time: 213600, added: EXPERT Red
Time: 213600, added: MEDIUM Red
Time: 213702, removed: HARD Red
Time: 213702, removed: EXPERT Red
Time: 213702, removed: MEDIUM Red
Time: 213720, added: HARD Red
Time: 213720, added: EXPERT Red
Time: 213720, added: MEDIUM Red
Time: 213837, removed: EXPERT Red
Time: 213840, added: EXPERT Red
Time: 213957, removed: EXPERT Red
Time: 213960, added: EXPERT Red
Time: 214080, added: HARD Red
Time: 214080, added: EASY Red
Time: 214080, added: EXPERT Red
Time: 214080, added: MEDIUM Red
Time: 214088, removed: HARD Red
Time: 214088, removed: EASY Red
Time: 214088, removed: EXPERT Red
Time: 214088, removed: MEDIUM Red
Time: 214200, added: HARD Red
Time: 214200, added: EASY Red
Time: 214200, added: EXPERT Red
Time: 214200, added: MEDIUM Red
Time: 214208, removed: HARD Red
Time: 214208, removed: EASY Red
Time: 214208, removed: EXPERT Red
Time: 214208, removed: MEDIUM Red
Time: 214320, added: HARD Red
Time: 214320, added: EXPERT Red
Time: 214333, removed: HARD Red
Time: 214333, removed: EXPERT Red
Time: 214440, added: HARD Red
Time: 214440, added: EXPERT Red
Time: 214453, removed: HARD Red
Time: 214453, removed: EXPERT Red
Time: 216480, removed: HARD Red, added: HARD Green
Time: 216600, removed: HARD Red, added: HARD Green
Time: 216960, removed: HARD Yellow, added: HARD Red
Time: 217080, removed: HARD Yellow, added: HARD Red
Time: 217200, removed: HARD Yellow, added: HARD Red
Time: 217320, removed: HARD Yellow, added: HARD Red
Time: 217680, removed: HARD Red, added: HARD Green
Time: 217800, removed: HARD Red, added: HARD Green
Time: 217920, removed: HARD Red, added: HARD Green
Time: 218040, removed: HARD Red, added: HARD Green
Time: 218400, removed: HARD Yellow, added: HARD Red
Time: 218520, removed: HARD Yellow, added: HARD Red
Time: 218640, removed: HARD Yellow, added: HARD Red
Time: 218760, removed: HARD Yellow, added: HARD Red
Time: 219120, removed: HARD Red, added: HARD Green
Time: 219240, removed: HARD Red, added: HARD Green
Time: 219360, removed: HARD Red, added: HARD Green
Time: 219480, removed: HARD Red, added: HARD Green
Time: 219840, removed: HARD Blue, added: HARD Yellow
Time: 219960, removed: HARD Blue, added: HARD Yellow
Time: 220320, removed: HARD Blue, added: HARD Yellow
Time: 220440, removed: HARD Blue, added: HARD Yellow
Time: 221520, removed: HARD Red, added: HARD Green
Time: 221640, removed: HARD Red, added: HARD Green
Time: 221760, removed: HARD Red, added: HARD Green
Time: 221880, removed: HARD Red, added: HARD Green
Time: 222960, removed: HARD Red, added: HARD Green
Time: 223080, removed: HARD Red, added: HARD Green
Time: 223200, removed: HARD Red, added: HARD Green
Time: 223320, removed: HARD Red, added: HARD Green
Time: 232440, removed: EXPERT Green
Time: 232800, added: EXPERT Green
Time: 233160, removed: EXPERT Green
Time: 233520, added: EXPERT Green
Time: 233880, removed: EXPERT Blue
Time: 234240, added: EXPERT Blue
Time: 234600, removed: EXPERT Blue
Time: 235200, added: EXPERT Blue
Time: 235560, removed: EXPERT Green
Time: 235920, added: EXPERT Green
Time: 236280, removed: EXPERT Green
Time: 236640, added: EXPERT Green
Time: 237000, removed: EXPERT Green
Time: 237360, added: EXPERT Green
Time: 237720, removed: EXPERT Blue
Time: 238080, added: EXPERT Blue
Time: 238440, removed: EXPERT Blue
Time: 239040, added: EXPERT Blue
Time: 239400, removed: EXPERT Orange
Time: 239760, added: EXPERT Orange
Time: 240120, removed: EXPERT Yellow
Time: 240480, added: EXPERT Yellow
Time: 240840, removed: EXPERT Yellow
Time: 241200, added: EXPERT Yellow
Time: 241560, removed: EXPERT Yellow
Time: 241920, added: EXPERT Yellow
Time: 242280, removed: EXPERT Yellow
Time: 242880, added: EXPERT Yellow
Time: 243240, removed: EXPERT Yellow
Time: 243600, added: EXPERT Yellow
Time: 243960, removed: EXPERT Yellow
Time: 244320, added: EXPERT Yellow
Time: 244680, removed: EXPERT Yellow
Time: 245040, added: EXPERT Yellow
Time: 245400, removed: EXPERT Yellow
Time: 245760, added: EXPERT Yellow
Time: 246120, removed: EXPERT Yellow
Time: 246720, added: EXPERT Yellow
Time: 247080, removed: EXPERT Blue
Time: 247440, added: EXPERT Blue
Time: 247800, removed: EXPERT Green
Time: 248160, added: EXPERT Green
Time: 248520, removed: EXPERT Green
Time: 248880, added: EXPERT Green
Time: 249240, removed: EXPERT Orange
Time: 249600, added: EXPERT Orange
Time: 249960, removed: EXPERT Orange
Time: 250560, added: EXPERT Orange
Time: 250920, removed: EXPERT Green
Time: 251280, added: EXPERT Green
Time: 251640, removed: EXPERT Green
Time: 252000, added: EXPERT Green
Time: 252360, removed: EXPERT Red
Time: 252720, added: EXPERT Red
Time: 253080, removed: EXPERT Yellow
Time: 253440, added: EXPERT Yellow
Time: 253800, removed: EXPERT Blue
Time: 254160, added: EXPERT Blue
Time: 254520, removed: EXPERT Orange
Time: 255120, added: EXPERT Orange
Time: 255600, removed: HARD Red, EXPERT Red
Time: 255720, removed: HARD Red, EXPERT Red
Time: 264480, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 264600, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 264720, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 264840, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 264960, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 265080, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 265200, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 265320, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 265440, removed: EXPERT Blue, added: EXPERT Yellow
Time: 265560, removed: EXPERT Blue, added: EXPERT Yellow
Time: 265680, removed: EXPERT Blue, added: EXPERT Yellow
Time: 265800, removed: EXPERT Blue, added: EXPERT Yellow
Time: 265920, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 266040, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 266160, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 266280, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 266400, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 266520, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 266640, removed: EXPERT Orange, added: EXPERT Blue
Time: 266760, removed: EXPERT Orange, added: EXPERT Blue
Time: 268320, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 268440, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 268560, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 268680, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 268800, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 268920, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 269040, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 269160, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 269280, removed: EXPERT Blue, added: EXPERT Yellow
Time: 269400, removed: EXPERT Blue, added: EXPERT Yellow
Time: 269520, removed: EXPERT Blue, added: EXPERT Yellow
Time: 269640, removed: EXPERT Blue, added: EXPERT Yellow
Time: 269760, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 269880, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 270000, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 270120, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 270240, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 270360, removed: HARD Orange, EXPERT Orange, added: HARD Blue, EXPERT Blue
Time: 270480, removed: EXPERT Orange, added: EXPERT Blue
Time: 270600, removed: EXPERT Orange, added: EXPERT Blue
Time: 270720, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 270840, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 270960, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 271080, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 271200, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 271320, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 271440, removed: EXPERT Yellow, added: EXPERT Red
Time: 271560, removed: EXPERT Yellow, added: EXPERT Red
Time: 271680, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 271800, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 271920, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 272040, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 272160, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 272280, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 272400, removed: EXPERT Yellow, added: EXPERT Red
Time: 272520, removed: EXPERT Yellow, added: EXPERT Red
Time: 272640, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 272760, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 272880, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 273000, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 273120, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 273240, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 273360, removed: EXPERT Yellow, added: EXPERT Red
Time: 273480, removed: EXPERT Yellow, added: EXPERT Red
Time: 273600, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 273720, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 273840, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 273960, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 274080, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 274200, removed: HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow
Time: 274320, removed: EXPERT Blue, added: EXPERT Yellow
Time: 274440, removed: EXPERT Blue, added: EXPERT Yellow
Time: 274560, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 274680, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 274800, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 274920, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 275040, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 275160, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 275280, removed: EXPERT Yellow, added: EXPERT Red
Time: 275400, removed: EXPERT Yellow, added: EXPERT Red
Time: 275520, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 275640, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 275760, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 275880, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276000, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276120, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276240, removed: EXPERT Yellow, added: EXPERT Red
Time: 276360, removed: EXPERT Yellow, added: EXPERT Red
Time: 276480, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276600, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276720, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276840, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 276960, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 277080, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 277200, removed: EXPERT Yellow, added: EXPERT Red
Time: 277320, removed: EXPERT Yellow, added: EXPERT Red
Time: 277440, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 277560, removed: HARD Yellow, EXPERT Yellow, added: HARD Red, EXPERT Red
Time: 285120, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 285240, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Differences found in track 'PART DRUMS':
Time: 5520, added: EXPERT Yellow
Time: 5640, added: EXPERT Yellow
Time: 8880, removed: EXPERT Green, added: EXPERT Blue
Time: 9000, removed: EXPERT Green, added: EXPERT Blue
Time: 12720, removed: EXPERT Green, added: EXPERT Blue
Time: 12840, removed: EXPERT Green, added: EXPERT Blue
Time: 19680, removed: EXPERT Green
Time: 19800, removed: EXPERT Green, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 19920, added: EXPERT Blue
Time: 20040, removed: EXPERT Yellow, added: TOM GEMS PAD 2, EXPERT Blue, TOM GEMS PAD 3
Time: 20400, added: TOM GEMS PAD 2
Time: 20640, added: TOM GEMS PAD 2, TOM GEMS PAD 3
