New track in update: 'battlesandbrotherhood_rbn'
Differences found in track 'PART BASS':
Time: 205440, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 206640, removed: EASY Yellow, added: EASY Orange
Time: 206880, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 407040, added: OVERDRIVE
Time: 67920, added: TOM GEMS PAD 3
Time: 68040, added: TOM GEMS PAD 3
Time: 82560, added: TOM GEMS PAD 2
Time: 82680, added: TOM GEMS PAD 2
Time: 82800, added: TOM GEMS PAD 2
Time: 87840, added: TOM GEMS PAD 2
Time: 87960, added: TOM GEMS PAD 2
Time: 97920, added: TOM GEMS PAD 2
Time: 98040, added: TOM GEMS PAD 2
Time: 98160, added: TOM GEMS PAD 2
Time: 98880, added: TOM GEMS PAD 2
Time: 99000, added: TOM GEMS PAD 2
Time: 99120, added: TOM GEMS PAD 2
Time: 99240, added: TOM GEMS PAD 2
Time: 99360, added: TOM GEMS PAD 3
Time: 99480, added: TOM GEMS PAD 3
Time: 99600, added: TOM GEMS PAD 3
Time: 99720, added: TOM GEMS PAD 3
Time: 103200, added: TOM GEMS PAD 2
Time: 103320, added: TOM GEMS PAD 2
Time: 114240, added: TOM GEMS PAD 2
Time: 114360, added: TOM GEMS PAD 2
Time: 118080, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 118200, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 120000, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 120120, added: TOM GEMS PAD 2, TOM GEMS PAD 3
Time: 121680, removed: EXPERT Blue, added: TOM GEMS PAD 2
Time: 121800, removed: EXPERT Blue, added: TOM GEMS PAD 2
Time: 121920, removed: EXPERT Yellow, added: TOM GEMS PAD 3
Time: 122040, removed: EXPERT Yellow, added: TOM GEMS PAD 3
Time: 125760, added: TOM GEMS PAD 2, EXPERT Blue, TOM GEMS PAD 3
Time: 125880, added: TOM GEMS PAD 2, EXPERT Blue, TOM GEMS PAD 3
Time: 127680, added: TOM GEMS PAD 2, EXPERT Blue, TOM GEMS PAD 3
Time: 127800, added: TOM GEMS PAD 2, EXPERT Blue, TOM GEMS PAD 3
Time: 144000, added: TOM GEMS PAD 2
Time: 144120, added: TOM GEMS PAD 2
Time: 144240, added: TOM GEMS PAD 2
Time: 144360, added: TOM GEMS PAD 2
Time: 144480, added: TOM GEMS PAD 3
Time: 144600, added: TOM GEMS PAD 3
Time: 144720, added: TOM GEMS PAD 3
Time: 144840, added: TOM GEMS PAD 3
Time: 160800, added: TOM GEMS PAD 2
Time: 160920, added: TOM GEMS PAD 2
Time: 161040, added: TOM GEMS PAD 2
Time: 161160, added: TOM GEMS PAD 2
Time: 173280, added: TOM GEMS PAD 2
Time: 173400, added: TOM GEMS PAD 2
Time: 174240, added: TOM GEMS PAD 2
Time: 174360, added: TOM GEMS PAD 2
Time: 175680, added: TOM GEMS PAD 2
Time: 175800, added: TOM GEMS PAD 2
Time: 175920, added: TOM GEMS PAD 2
Time: 176040, added: TOM GEMS PAD 2
Time: 176160, added: TOM GEMS PAD 3
Time: 176280, added: TOM GEMS PAD 3
Time: 176400, added: TOM GEMS PAD 3
Time: 176520, added: TOM GEMS PAD 3
Time: 180000, added: TOM GEMS PAD 2
Time: 180120, added: TOM GEMS PAD 2
Time: 191040, added: TOM GEMS PAD 2
Time: 191160, added: TOM GEMS PAD 2
Time: 191280, added: TOM GEMS PAD 2
Time: 191400, added: TOM GEMS PAD 2
Time: 191520, added: TOM GEMS PAD 3
Time: 191640, added: TOM GEMS PAD 3
Time: 191760, added: TOM GEMS PAD 3
Time: 191880, added: TOM GEMS PAD 3
Time: 195360, added: TOM GEMS PAD 2
Time: 195480, added: TOM GEMS PAD 2
Time: 206400, added: TOM GEMS PAD 2
Time: 206520, added: TOM GEMS PAD 2
Time: 221040, added: TOM GEMS PAD 2
Time: 221160, added: TOM GEMS PAD 2
Time: 221280, added: TOM GEMS PAD 2
Time: 221400, added: TOM GEMS PAD 2
Time: 221760, added: TOM GEMS PAD 3
Time: 221880, added: TOM GEMS PAD 3
Time: 222240, added: TOM GEMS PAD 3
Time: 222360, added: TOM GEMS PAD 3
Time: 236400, added: TOM GEMS PAD 2
Time: 236520, added: TOM GEMS PAD 2
Time: 236640, added: TOM GEMS PAD 2
Time: 236760, added: TOM GEMS PAD 2
Time: 237120, added: TOM GEMS PAD 3
Time: 237240, added: TOM GEMS PAD 3
Time: 237600, added: TOM GEMS PAD 3
Time: 237720, added: TOM GEMS PAD 3
Time: 252960, added: TOM GEMS PAD 2
Time: 253080, added: TOM GEMS PAD 2
Time: 267840, added: TOM GEMS PAD 2
Time: 267960, added: TOM GEMS PAD 2
Time: 282480, added: TOM GEMS PAD 2
Time: 282600, added: TOM GEMS PAD 2
Time: 282720, added: TOM GEMS PAD 2
Time: 282840, added: TOM GEMS PAD 2
Time: 283200, added: TOM GEMS PAD 3
Time: 283320, added: TOM GEMS PAD 3
Time: 283680, added: TOM GEMS PAD 3
Time: 283800, added: TOM GEMS PAD 3
Time: 297840, added: TOM GEMS PAD 2
Time: 297960, added: TOM GEMS PAD 2
Time: 298080, added: TOM GEMS PAD 2
Time: 298200, added: TOM GEMS PAD 2
Time: 298560, added: TOM GEMS PAD 2
Time: 298680, added: TOM GEMS PAD 2
Time: 299040, added: TOM GEMS PAD 2
Time: 299160, added: TOM GEMS PAD 2
Time: 299760, added: TOM GEMS PAD 3
Time: 299880, added: TOM GEMS PAD 3
Time: 300000, added: TOM GEMS PAD 3
Time: 300120, added: TOM GEMS PAD 3
Time: 300480, added: TOM GEMS PAD 3
Time: 300600, added: TOM GEMS PAD 3
Time: 300960, added: TOM GEMS PAD 3
Time: 301080, added: TOM GEMS PAD 3
Time: 301680, added: TOM GEMS PAD 4
Time: 301800, added: TOM GEMS PAD 4
Time: 301920, added: TOM GEMS PAD 4
Time: 302040, added: TOM GEMS PAD 4
Time: 302400, added: TOM GEMS PAD 4
Time: 302520, added: TOM GEMS PAD 4
Time: 302880, added: TOM GEMS PAD 4
Time: 303000, added: TOM GEMS PAD 4
Time: 303360, added: TOM GEMS PAD 3
Time: 303480, added: TOM GEMS PAD 3
Time: 340800, added: TOM GEMS PAD 2
Time: 340920, added: TOM GEMS PAD 2
Time: 341040, added: TOM GEMS PAD 2
Time: 341160, added: TOM GEMS PAD 2
Time: 341280, added: TOM GEMS PAD 3
Time: 341400, added: TOM GEMS PAD 3
Time: 341520, added: TOM GEMS PAD 3
Time: 341640, added: TOM GEMS PAD 3
Time: 351600, added: TOM GEMS PAD 2
Time: 351720, added: TOM GEMS PAD 2
Time: 351840, added: TOM GEMS PAD 2
Time: 351960, added: TOM GEMS PAD 2
Time: 352080, added: TOM GEMS PAD 2
Time: 352200, added: TOM GEMS PAD 2
Time: 352320, added: TOM GEMS PAD 3
Time: 352440, added: TOM GEMS PAD 3
Time: 352560, added: TOM GEMS PAD 3
Time: 352680, added: TOM GEMS PAD 3
Time: 352800, added: TOM GEMS PAD 4
Time: 352920, added: TOM GEMS PAD 4
Time: 353040, added: TOM GEMS PAD 4
Time: 353160, added: TOM GEMS PAD 4
Time: 356160, added: TOM GEMS PAD 2
Time: 356280, added: TOM GEMS PAD 2
Time: 356640, added: TOM GEMS PAD 3
Time: 356760, added: TOM GEMS PAD 3
Time: 356880, added: TOM GEMS PAD 3
Time: 357000, added: TOM GEMS PAD 3
Time: 367680, added: TOM GEMS PAD 2
Time: 367800, added: TOM GEMS PAD 2
Time: 367920, added: TOM GEMS PAD 2
Time: 368040, added: TOM GEMS PAD 2
Time: 368160, added: TOM GEMS PAD 3
Time: 368280, added: TOM GEMS PAD 3
Time: 368400, added: TOM GEMS PAD 3
Time: 368520, added: TOM GEMS PAD 3
Time: 370080, added: TOM GEMS PAD 2
Time: 370200, added: TOM GEMS PAD 2
Time: 371040, added: TOM GEMS PAD 2
Time: 371160, added: TOM GEMS PAD 2
Time: 371280, added: TOM GEMS PAD 2
Time: 371520, added: TOM GEMS PAD 3
Time: 371640, added: TOM GEMS PAD 3
Time: 371760, added: TOM GEMS PAD 3
Time: 372000, added: TOM GEMS PAD 2
Time: 372120, added: TOM GEMS PAD 2
Time: 372240, added: TOM GEMS PAD 2
Time: 372360, added: TOM GEMS PAD 2
Time: 401280, added: TOM GEMS PAD 2
Time: 401400, added: TOM GEMS PAD 2
Time: 401600, added: TOM GEMS PAD 2
Time: 401720, added: TOM GEMS PAD 2
Time: 401920, added: TOM GEMS PAD 2
Time: 402040, added: TOM GEMS PAD 2
Time: 402240, added: TOM GEMS PAD 2
Time: 402360, added: TOM GEMS PAD 2
Time: 402560, added: TOM GEMS PAD 2
Time: 402680, added: TOM GEMS PAD 2
Time: 402880, added: TOM GEMS PAD 2
Time: 403000, added: TOM GEMS PAD 2
Time: 416880, added: TOM GEMS PAD 2
Time: 417000, added: TOM GEMS PAD 2
Time: 417120, added: TOM GEMS PAD 2
Time: 417240, added: TOM GEMS PAD 2
Time: 417600, added: TOM GEMS PAD 3
Time: 417720, added: TOM GEMS PAD 3
Time: 418080, added: TOM GEMS PAD 3
Time: 418200, added: TOM GEMS PAD 3
Time: 432240, added: TOM GEMS PAD 2
Time: 432360, added: TOM GEMS PAD 2
Time: 432480, added: TOM GEMS PAD 2
Time: 432600, added: TOM GEMS PAD 2
Time: 432960, added: TOM GEMS PAD 3
Time: 433080, added: TOM GEMS PAD 3
Time: 433440, added: TOM GEMS PAD 3
Time: 433560, added: TOM GEMS PAD 3
Time: 434400, added: TOM GEMS PAD 2
Time: 434520, added: TOM GEMS PAD 2
Time: 434880, added: TOM GEMS PAD 2
Time: 435000, added: TOM GEMS PAD 2
Time: 435360, added: TOM GEMS PAD 3
Time: 435480, added: TOM GEMS PAD 3
Time: 436320, added: TOM GEMS PAD 2
Time: 436440, added: TOM GEMS PAD 2
Time: 436560, added: TOM GEMS PAD 2
Time: 437280, added: TOM GEMS PAD 2
Time: 437400, added: TOM GEMS PAD 2
Time: 437520, added: TOM GEMS PAD 2
Time: 438240, added: TOM GEMS PAD 2
Time: 438360, added: TOM GEMS PAD 2
Time: 438480, added: TOM GEMS PAD 2
Time: 438720, added: TOM GEMS PAD 3
Time: 438840, added: TOM GEMS PAD 3
Time: 438960, added: TOM GEMS PAD 3
Time: 439200, added: TOM GEMS PAD 3
Time: 439320, added: TOM GEMS PAD 3
Time: 439440, added: TOM GEMS PAD 3
Time: 439560, added: TOM GEMS PAD 3
Time: 453120, added: TOM GEMS PAD 2
Time: 453240, added: TOM GEMS PAD 2
Time: 453360, added: TOM GEMS PAD 2
Time: 453480, added: TOM GEMS PAD 2
Time: 453600, added: TOM GEMS PAD 3
Time: 453720, added: TOM GEMS PAD 3
Time: 453840, added: TOM GEMS PAD 3
Time: 453960, added: TOM GEMS PAD 3
Time: 473760, added: TOM GEMS PAD 2
Time: 473880, added: TOM GEMS PAD 2
Time: 484800, added: TOM GEMS PAD 2
Time: 484920, added: TOM GEMS PAD 2
Time: 485040, added: TOM GEMS PAD 2
Time: 485160, added: TOM GEMS PAD 2
Time: 485280, added: TOM GEMS PAD 3
Time: 485400, added: TOM GEMS PAD 3
Time: 485520, added: TOM GEMS PAD 3
Time: 485640, added: TOM GEMS PAD 3
Time: 489120, added: TOM GEMS PAD 2
Time: 489240, added: TOM GEMS PAD 2
Time: 503040, added: DRUM ROLL
Time: 506040, added: DRUM ROLL
Time: 510000, added: TOM GEMS PAD 2
Time: 510120, added: TOM GEMS PAD 2
Time: 525600, added: TOM GEMS PAD 2
Time: 525720, added: TOM GEMS PAD 2
Time: 532920, added: TOM GEMS PAD 2
Time: 533040, added: TOM GEMS PAD 2
Time: 533160, added: TOM GEMS PAD 2
Time: 533280, added: TOM GEMS PAD 2
Time: 533400, added: TOM GEMS PAD 2
Time: 533520, added: TOM GEMS PAD 2
Time: 533640, added: TOM GEMS PAD 2
Time: 537600, added: TOM GEMS PAD 2
Time: 537720, added: TOM GEMS PAD 2
Time: 538560, added: TOM GEMS PAD 2
Time: 538680, added: TOM GEMS PAD 2
Time: 539520, added: TOM GEMS PAD 2
Time: 539640, added: TOM GEMS PAD 2
Time: 539760, added: TOM GEMS PAD 2
Time: 539880, added: TOM GEMS PAD 2
Time: 541080, added: TOM GEMS PAD 2
Time: 541080, added: EXPERT Yellow
Time: 541140, removed: HARD Yellow
Time: 541140, removed: EASY Yellow
Time: 541140, removed: EXPERT Yellow
Time: 541140, removed: MEDIUM Yellow
Time: 541200, added: TOM GEMS PAD 2
Time: 541200, added: HARD Yellow
Time: 541200, added: EASY Yellow
Time: 541200, added: EXPERT Yellow
Time: 541200, added: MEDIUM Yellow
Time: 541320, added: TOM GEMS PAD 2
Differences found in track 'PART GUITAR':
Time: 11760, removed: Force HOPO On
Time: 11880, removed: Force HOPO On
Time: 19440, removed: Force HOPO On
Time: 19560, removed: Force HOPO On
Time: 27120, removed: Force HOPO On
Time: 27240, removed: Force HOPO On
Time: 34800, removed: Force HOPO On
Time: 34920, removed: Force HOPO On
Time: 38160, removed: Force HOPO On
Time: 38280, removed: Force HOPO On
Time: 45240, removed: Force HOPO On
Time: 45400, removed: Force HOPO On
Time: 45560, removed: Force HOPO On
Time: 57840, removed: Force HOPO On
Time: 57960, removed: Force HOPO On
Time: 65520, removed: Force HOPO On
Time: 65640, removed: Force HOPO On
Time: 73200, removed: Force HOPO On
Time: 73320, removed: Force HOPO On
Time: 80880, removed: Force HOPO On
Time: 81000, removed: Force HOPO On
Time: 84240, removed: Force HOPO On
Time: 84360, removed: Force HOPO On
Time: 134640, removed: Force HOPO On
Time: 134760, removed: Force HOPO On
Time: 142320, removed: Force HOPO On
Time: 142440, removed: Force HOPO On
Time: 150000, removed: Force HOPO On
Time: 150120, removed: Force HOPO On
Time: 157680, removed: Force HOPO On
Time: 157800, removed: Force HOPO On
Time: 161040, removed: Force HOPO On
Time: 161160, removed: Force HOPO On
Time: 168120, removed: Force HOPO On
Time: 168280, removed: Force HOPO On
Time: 168440, removed: Force HOPO On
Time: 220800, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 220920, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 243000, removed: Force HOPO On
Time: 243160, removed: Force HOPO On
Time: 243320, removed: Force HOPO On
Time: 243480, removed: Force HOPO On
Time: 250680, removed: Force HOPO On
Time: 250840, removed: Force HOPO On
Time: 251000, removed: Force HOPO On
Time: 251160, removed: Force HOPO On
Time: 258360, removed: Force HOPO On
Time: 258520, removed: Force HOPO On
Time: 258680, removed: Force HOPO On
Time: 258840, removed: Force HOPO On
Time: 266040, removed: Force HOPO On
Time: 266200, removed: Force HOPO On
Time: 266360, removed: Force HOPO On
Time: 266520, removed: Force HOPO On
Time: 311280, removed: Force HOPO On
Time: 311400, removed: Force HOPO On
Time: 313680, removed: Force HOPO On
Time: 313800, removed: Force HOPO On
Time: 314160, removed: Force HOPO On
Time: 314280, removed: Force HOPO On
Time: 314400, removed: Force HOPO On
Time: 314520, removed: Force HOPO On
Time: 314640, removed: Force HOPO On
Time: 314760, removed: Force HOPO On
Time: 316320, removed: Force HOPO On
Time: 316440, removed: Force HOPO On
Time: 326640, removed: Force HOPO On
Time: 326760, removed: Force HOPO On
Time: 327360, removed: Force HOPO On
Time: 327480, removed: Force HOPO On
Time: 330480, removed: Force HOPO On
Time: 330600, removed: Force HOPO On
Time: 331200, removed: Force HOPO On
Time: 331320, removed: Force HOPO On
Time: 333600, removed: Force HOPO On
Time: 333720, removed: Force HOPO On
Time: 338160, removed: Force HOPO On
Time: 338280, removed: Force HOPO On
Time: 338880, removed: Force HOPO On
Time: 339000, removed: Force HOPO On
Time: 339600, removed: Force HOPO On
Time: 339720, removed: Force HOPO On
Time: 340320, removed: Force HOPO On
Time: 340440, removed: Force HOPO On
Time: 341040, removed: Force HOPO On
Time: 341160, removed: Force HOPO On
Time: 341520, removed: Force HOPO On
Time: 341640, removed: Force HOPO On
Time: 384240, removed: Force HOPO On
Time: 384360, removed: Force HOPO On
Time: 386160, removed: Force HOPO On
Time: 386280, removed: Force HOPO On
Time: 389280, removed: Force HOPO On
Time: 389400, removed: Force HOPO On
Time: 395760, removed: Force HOPO On
Time: 395880, removed: Force HOPO On
Time: 396960, removed: Force HOPO On
Time: 397080, removed: Force HOPO On
Time: 403440, removed: Force HOPO On
Time: 403560, removed: Force HOPO On
Time: 443760, removed: Force HOPO On
Time: 443880, removed: Force HOPO On
Time: 451440, removed: Force HOPO On
Time: 451560, removed: Force HOPO On
Time: 459120, removed: Force HOPO On
Time: 459240, removed: Force HOPO On
Time: 466800, removed: Force HOPO On
Time: 466920, removed: Force HOPO On
Time: 470160, removed: Force HOPO On
Time: 470280, removed: Force HOPO On
Text differences found in track 'PART VOCALS':
Time: 401280, Text event changed from '[play] ' to '[play]'
