New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART VOCALS':
Time: 72720, removed: Phrase Marker
Time: 117822, added: Phrase Marker
Time: 117822, added: OVERDRIVE
Time: 117822, added: Unknown Note (106)
Time: 117840, removed: Unknown Note (106)
Time: 121440, removed: Unknown Note (106)
Time: 121647, added: Phrase Marker
Time: 121647, added: Unknown Note (106)
Time: 121680, removed: Phrase Marker
Time: 121680, removed: Unknown Note (106)
Time: 125280, removed: Phrase Marker, Unknown Note (106)
Time: 125503, added: Phrase Marker
Time: 125503, added: Unknown Note (106)
Time: 125520, removed: Phrase Marker
Time: 125520, removed: Unknown Note (106)
Time: 164640, removed: Unknown Note (106)
Time: 164739, added: Unknown Note (106)
Time: 164739, added: Phrase Marker
Time: 164739, added: OVERDRIVE
Time: 164760, removed: Phrase Marker
Time: 164760, removed: OVERDRIVE
Time: 168600, removed: Phrase Marker, OVERDRIVE
Time: 168703, added: Phrase Marker
Time: 168703, added: OVERDRIVE
Time: 168703, added: Unknown Note (106)
Time: 168720, removed: Unknown Note (106)
Time: 172440, removed: Unknown Note (106)
Time: 172781, added: Phrase Marker
Time: 172781, added: Unknown Note (106)
Time: 172800, removed: Phrase Marker
Time: 176160, removed: Phrase Marker
Time: 176618, added: Unknown Note (106)
Time: 176618, added: Phrase Marker
Time: 176618, added: OVERDRIVE
Time: 176640, removed: OVERDRIVE
Time: 176640, removed: Unknown Note (106)
Time: 180240, removed: OVERDRIVE, Unknown Note (106)
Time: 180697, added: OVERDRIVE
Time: 180697, added: Phrase Marker
Time: 180697, added: Unknown Note (106)
Time: 180720, removed: Phrase Marker
Time: 183960, removed: Phrase Marker
Time: 184065, added: Phrase Marker
Time: 184065, added: Unknown Note (106)
Time: 184080, removed: Phrase Marker
Time: 184080, removed: Unknown Note (106)
Time: 187680, removed: Phrase Marker, Unknown Note (106)
Time: 187776, added: Phrase Marker
Time: 187776, added: Unknown Note (106)
Time: 187800, removed: C#3
Time: 187800, removed: Phrase Marker
Time: 187800, removed: Unknown Note (106)
Time: 187871, added: C#3
Time: 191520, removed: Phrase Marker, Unknown Note (106)
Time: 191734, added: Phrase Marker
Time: 191734, added: Unknown Note (106)
Time: 191760, removed: Unknown Note (106)
Time: 194520, removed: Unknown Note (106)
Time: 194603, added: Unknown Note (106)
Time: 194603, added: Phrase Marker
Time: 194603, added: OVERDRIVE
Time: 194640, removed: Phrase Marker
Time: 194640, removed: OVERDRIVE
Time: 198360, removed: Phrase Marker, OVERDRIVE
Time: 198465, added: Phrase Marker
Time: 198465, added: OVERDRIVE
Time: 198465, added: Unknown Note (106)
Time: 198480, removed: Unknown Note (106)
Time: 202200, removed: Unknown Note (106)
Time: 202302, added: Phrase Marker
Time: 202302, added: Unknown Note (106)
Time: 202320, removed: Phrase Marker
Time: 205920, removed: Phrase Marker
Time: 206140, added: Unknown Note (106)
Time: 206140, added: Phrase Marker
Time: 206140, added: OVERDRIVE
Time: 206160, removed: OVERDRIVE
Time: 206160, removed: Unknown Note (106)
Time: 209880, removed: OVERDRIVE, Unknown Note (106)
Time: 209984, added: OVERDRIVE
Time: 209984, added: Phrase Marker
Time: 209984, added: Unknown Note (106)
Time: 210000, removed: Phrase Marker
Time: 213720, removed: Phrase Marker
Time: 213815, added: Phrase Marker
Time: 213815, added: Unknown Note (106)
Time: 213840, removed: Phrase Marker
Time: 213840, removed: Unknown Note (106)
Time: 217440, removed: Phrase Marker, Unknown Note (106)
Time: 217653, added: Unknown Note (106)
Time: 217653, added: Phrase Marker
Time: 217653, added: OVERDRIVE
Time: 217680, removed: Unknown Note (106)
Time: 217680, removed: Phrase Marker
Time: 217680, removed: OVERDRIVE
Time: 255960, removed: Phrase Marker, Unknown Note (106)
Time: 256182, added: Phrase Marker
Time: 256182, added: Unknown Note (106)
Time: 256200, removed: Phrase Marker
Time: 259800, removed: Phrase Marker
Time: 260020, added: Phrase Marker
Time: 260020, added: Unknown Note (106)
Time: 260040, removed: Phrase Marker
Time: 260040, removed: Unknown Note (106)
Time: 263760, removed: Phrase Marker, Unknown Note (106)
Time: 263858, added: Phrase Marker
Time: 263858, added: Unknown Note (106)
Time: 263880, removed: Unknown Note (106)
Time: 267480, removed: Unknown Note (106)
Time: 267690, added: Phrase Marker
Time: 267690, added: Unknown Note (106)
Time: 267720, removed: Phrase Marker
Time: 271320, removed: Phrase Marker
Time: 271431, added: Phrase Marker
Time: 271431, added: Unknown Note (106)
Time: 271440, removed: Unknown Note (106)
Time: 275160, removed: Unknown Note (106)
Time: 275252, added: Phrase Marker
Time: 275252, added: Unknown Note (106)
Time: 275280, removed: Phrase Marker
Time: 275280, removed: Unknown Note (106)
Time: 279000, removed: Phrase Marker, Unknown Note (106)
Time: 279216, added: Phrase Marker
Time: 279216, added: Unknown Note (106)
Time: 279240, removed: Phrase Marker
Time: 279240, removed: Unknown Note (106)
Text differences found in track 'PART VOCALS':
Time: 290399, Text event changed from '[no event]' to '[idle_realtime]'
Time: 290400, Text event changed from '[idle_realtime]' to '[no event]'
