New track in update: 'leaderlessandself_rbn'
Differences found in track 'PART DRUMS':
Time: 18480, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18600, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18720, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18840, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 18960, removed: EXPERT Green, added: EXPERT Blue
Time: 24960, removed: EXPERT Green, added: EXPERT Blue
Time: 25080, removed: EXPERT Green, added: EXPERT Blue
Time: 25200, removed: EXPERT Green, added: EXPERT Blue
Time: 25320, removed: EXPERT Green, added: EXPERT Blue
Time: 25440, removed: EXPERT Green, added: EXPERT Blue
Time: 25560, removed: EXPERT Green, added: EXPERT Blue
Time: 25680, removed: EXPERT Green, added: EXPERT Blue
Time: 25800, removed: EXPERT Green, added: EXPERT Blue
Time: 25920, removed: EXPERT Green, added: EXPERT Blue
Time: 26040, removed: EXPERT Green, added: EXPERT Blue
Time: 26160, removed: EXPERT Green, added: EXPERT Blue
Time: 26280, removed: EXPERT Green, added: EXPERT Blue
Time: 26400, removed: EXPERT Green, added: EXPERT Blue
Time: 26520, removed: EXPERT Green, added: EXPERT Blue
Time: 26640, removed: EXPERT Green, added: EXPERT Blue
Time: 26760, removed: EXPERT Green, added: EXPERT Blue
Time: 26880, removed: EXPERT Green, added: EXPERT Blue
Time: 27000, removed: EXPERT Green, added: EXPERT Blue
Time: 27120, removed: EXPERT Green, added: EXPERT Blue
Time: 27240, removed: EXPERT Green, added: EXPERT Blue
Time: 27360, removed: EXPERT Green, added: EXPERT Blue
Time: 27480, removed: EXPERT Green, added: EXPERT Blue
Time: 27600, removed: EXPERT Green, added: EXPERT Blue
Time: 27720, removed: EXPERT Green, added: EXPERT Blue
Time: 27840, removed: EXPERT Green, added: EXPERT Blue
Time: 27960, removed: EXPERT Green, added: EXPERT Blue
Time: 28080, removed: EXPERT Green, added: EXPERT Blue
Time: 28200, removed: EXPERT Green, added: EXPERT Blue
Time: 28320, removed: EXPERT Green, added: EXPERT Blue
Time: 28440, removed: EXPERT Green, added: EXPERT Blue
Time: 28560, removed: EXPERT Green, added: EXPERT Blue
Time: 28680, removed: EXPERT Green, added: EXPERT Blue
Time: 28800, removed: EXPERT Green, added: EXPERT Blue
Time: 28920, removed: EXPERT Green, added: EXPERT Blue
Time: 29040, removed: EXPERT Green, added: EXPERT Blue
Time: 29160, removed: EXPERT Green, added: EXPERT Blue
Time: 29280, removed: EXPERT Green, added: EXPERT Blue
Time: 29400, removed: EXPERT Green, added: EXPERT Blue
Time: 29520, removed: EXPERT Green, added: EXPERT Blue
Time: 29640, removed: EXPERT Green, added: EXPERT Blue
Time: 29760, removed: EXPERT Green, added: EXPERT Blue
Time: 29880, removed: EXPERT Green, added: EXPERT Blue
Time: 30000, removed: EXPERT Green, added: EXPERT Blue
Time: 30120, removed: EXPERT Green, added: EXPERT Blue
Time: 30240, removed: EXPERT Green, added: EXPERT Blue
Time: 30360, removed: EXPERT Green, added: EXPERT Blue
Time: 30480, removed: EXPERT Green, added: EXPERT Blue
Time: 30600, removed: EXPERT Green, added: EXPERT Blue
Time: 30720, removed: EXPERT Green, added: EXPERT Blue
Time: 30840, removed: EXPERT Green, added: EXPERT Blue
Time: 30960, removed: EXPERT Green, added: EXPERT Blue
Time: 31080, removed: EXPERT Green, added: EXPERT Blue
Time: 31200, removed: EXPERT Green, added: EXPERT Blue
Time: 31320, removed: EXPERT Green, added: EXPERT Blue
Time: 31440, removed: EXPERT Green, added: EXPERT Blue
Time: 31560, removed: EXPERT Green, added: EXPERT Blue
Time: 31680, removed: EXPERT Green, added: EXPERT Blue
Time: 31800, removed: EXPERT Green, added: EXPERT Blue
Time: 31920, removed: EXPERT Green, added: EXPERT Blue
Time: 32040, removed: EXPERT Green, added: EXPERT Blue
Time: 32160, removed: EXPERT Green, added: EXPERT Blue
Time: 32280, removed: EXPERT Green, added: EXPERT Blue
Time: 32400, removed: EXPERT Green, added: EXPERT Blue
Time: 32520, removed: EXPERT Green, added: EXPERT Blue
Time: 32640, removed: EXPERT Green, added: EXPERT Blue
Time: 32760, removed: EXPERT Green, added: EXPERT Blue
Time: 32880, removed: EXPERT Green, added: EXPERT Blue
Time: 33000, removed: EXPERT Green, added: EXPERT Blue
Time: 33120, removed: EXPERT Green, added: EXPERT Blue
Time: 33240, removed: EXPERT Green, added: EXPERT Blue
Time: 33360, removed: EXPERT Green, added: EXPERT Blue
Time: 33480, removed: EXPERT Green, added: EXPERT Blue
Time: 33600, removed: EXPERT Green, added: EXPERT Blue
Time: 33720, removed: EXPERT Green, added: EXPERT Blue
Time: 33840, removed: EXPERT Green, added: EXPERT Blue
Time: 33960, removed: EXPERT Green, added: EXPERT Blue
Time: 34080, removed: EXPERT Green, added: EXPERT Blue
Time: 34200, removed: EXPERT Green, added: EXPERT Blue
Time: 34320, removed: EXPERT Green, added: EXPERT Blue
Time: 34440, removed: EXPERT Green, added: EXPERT Blue
Time: 34560, removed: EXPERT Green, added: EXPERT Blue
Time: 34680, removed: EXPERT Green, added: EXPERT Blue
Time: 34800, removed: EXPERT Green, added: EXPERT Blue
Time: 34920, removed: EXPERT Green, added: EXPERT Blue
Time: 35040, removed: EXPERT Green, added: EXPERT Blue
Time: 35160, removed: EXPERT Green, added: EXPERT Blue
Time: 35520, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 35640, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 35760, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 35880, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36000, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36120, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36240, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36360, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36480, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36600, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36720, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36840, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 36960, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37080, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37200, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37320, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37440, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37560, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37680, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37800, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 37920, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38040, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38160, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38280, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38400, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38520, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38640, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 38760, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39120, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39240, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39360, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39480, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39600, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39720, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39840, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 39960, removed: MEDIUM Blue, HARD Blue, EXPERT Blue, added: HARD Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 40080, added: TOM GEMS PAD 2
Time: 40200, added: TOM GEMS PAD 2
Time: 40320, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 40440, added: TOM GEMS PAD 3, TOM GEMS PAD 4
Time: 40560, added: TOM GEMS PAD 2
Time: 40680, added: TOM GEMS PAD 2
Time: 44280, added: TOM GEMS PAD 2
Time: 44400, added: TOM GEMS PAD 2
Time: 45480, added: TOM GEMS PAD 2
Time: 45600, added: TOM GEMS PAD 3, TOM GEMS PAD 2
Time: 45720, added: TOM GEMS PAD 3
Time: 49080, added: TOM GEMS PAD 2
Time: 49200, added: TOM GEMS PAD 2
Time: 50280, added: TOM GEMS PAD 2
Time: 50400, added: TOM GEMS PAD 3, TOM GEMS PAD 2
Time: 50520, added: TOM GEMS PAD 3
Time: 57120, added: EXPERT Yellow
Time: 57240, added: EXPERT Yellow
Time: 65520, added: TOM GEMS PAD 2
Time: 65640, added: TOM GEMS PAD 2
Time: 66000, removed: EXPERT Green, added: EXPERT Blue
Time: 66120, removed: EXPERT Green, added: EXPERT Blue
Time: 66240, removed: EXPERT Green, added: EXPERT Blue
Time: 66360, removed: EXPERT Green, added: EXPERT Blue
Time: 66480, removed: EXPERT Green, added: EXPERT Blue
Time: 66600, removed: EXPERT Green, added: EXPERT Blue
Time: 66720, removed: EXPERT Green, added: EXPERT Blue
Time: 66840, removed: EXPERT Green, added: EXPERT Blue
Time: 66960, removed: EXPERT Green, added: EXPERT Blue
Time: 67080, removed: EXPERT Green, added: EXPERT Blue
Time: 67200, removed: EXPERT Green, added: EXPERT Blue
Time: 67320, removed: EXPERT Green, added: EXPERT Blue
Time: 67440, removed: EXPERT Green, added: EXPERT Blue
Time: 67560, removed: EXPERT Green, added: EXPERT Blue
Time: 67680, removed: EXPERT Green, added: EXPERT Blue
Time: 67800, removed: EXPERT Green, added: EXPERT Blue
Time: 67920, removed: EXPERT Green, added: EXPERT Blue
Time: 68040, removed: EXPERT Green, added: EXPERT Blue
Time: 68160, removed: EXPERT Green, added: EXPERT Blue
Time: 68280, removed: EXPERT Green, added: EXPERT Blue
Time: 68400, removed: EXPERT Green, added: EXPERT Blue
Time: 68520, removed: EXPERT Green, added: EXPERT Blue
Time: 68640, removed: EXPERT Green, added: EXPERT Blue
Time: 68760, removed: EXPERT Green, added: EXPERT Blue
Time: 68880, removed: EXPERT Green, added: EXPERT Blue
Time: 69000, removed: EXPERT Green, added: EXPERT Blue
Time: 69120, removed: EXPERT Green, added: EXPERT Blue
Time: 69240, removed: EXPERT Green, added: EXPERT Blue
Time: 69360, removed: EXPERT Green, added: EXPERT Blue
Time: 69480, removed: EXPERT Green, added: EXPERT Blue
Time: 69600, removed: EXPERT Green, added: EXPERT Blue
Time: 69720, removed: EXPERT Green, added: EXPERT Blue
Time: 69840, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 69960, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 70080, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 70200, removed: MEDIUM Blue, HARD Blue, EASY Blue, added: MEDIUM Green, EASY Green, HARD Green
Time: 70320, removed: EXPERT Green, added: EXPERT Blue
Time: 70440, removed: EXPERT Green, added: EXPERT Blue
Time: 70560, removed: EXPERT Green, added: EXPERT Blue
Time: 70680, removed: EXPERT Green, added: EXPERT Blue
Time: 70800, removed: EXPERT Green, added: EXPERT Blue
Time: 70920, removed: EXPERT Green, added: EXPERT Blue
Time: 71040, removed: EXPERT Green, added: EXPERT Blue
Time: 71160, removed: EXPERT Green, added: EXPERT Blue
Time: 71280, removed: EXPERT Green, added: EXPERT Blue
Time: 71400, removed: EXPERT Green, added: EXPERT Blue
Time: 71760, removed: EXPERT Blue, added: EXPERT Green
Time: 71880, removed: EXPERT Blue, added: EXPERT Green
Time: 72000, removed: EXPERT Green, added: EXPERT Blue
Time: 72120, removed: EXPERT Green, added: EXPERT Blue
Time: 72240, removed: EXPERT Green, added: EXPERT Blue
Time: 72360, removed: EXPERT Green, added: EXPERT Blue
Time: 72480, removed: EXPERT Green, added: EXPERT Blue
Time: 72600, removed: EXPERT Green, added: EXPERT Blue
Time: 72720, removed: EXPERT Green, added: EXPERT Blue
Time: 72840, removed: EXPERT Green, added: EXPERT Blue
Time: 72960, removed: EXPERT Green, added: EXPERT Blue
Time: 73080, removed: EXPERT Green, added: EXPERT Blue
Time: 73200, removed: EXPERT Green, added: EXPERT Blue
Time: 73320, removed: EXPERT Green, added: EXPERT Blue
Time: 73440, removed: EXPERT Green, added: EXPERT Blue
Time: 73560, removed: EXPERT Green, added: EXPERT Blue
Time: 73680, removed: EXPERT Green, added: EXPERT Blue
Time: 73800, removed: EXPERT Green, added: EXPERT Blue
Time: 73920, removed: EXPERT Green, added: EXPERT Blue
Time: 74040, removed: EXPERT Green, added: EXPERT Blue
Time: 74160, removed: EXPERT Green, added: EXPERT Blue
Time: 74280, removed: EXPERT Green, added: EXPERT Blue
Time: 74400, removed: EXPERT Green, added: EXPERT Blue
Time: 74520, removed: EXPERT Green, added: EXPERT Blue
Time: 74640, removed: EXPERT Blue, added: EXPERT Green
Time: 74760, removed: EXPERT Blue, added: EXPERT Green
Time: 74880, removed: EXPERT Green, added: EXPERT Blue
Time: 75000, removed: EXPERT Green, added: EXPERT Blue
Time: 75120, removed: EXPERT Green, added: EXPERT Blue
Time: 75240, removed: EXPERT Green, added: EXPERT Blue
Time: 75360, removed: EXPERT Green, added: EXPERT Blue
Time: 75480, removed: EXPERT Green, added: EXPERT Blue
Time: 75600, removed: EXPERT Green, added: EXPERT Blue
Time: 75720, removed: EXPERT Green, added: EXPERT Blue
Time: 75840, removed: EXPERT Green, added: EXPERT Blue
Time: 75960, removed: EXPERT Green, added: EXPERT Blue
Time: 76080, removed: EXPERT Green, added: EXPERT Blue
Time: 76200, removed: EXPERT Green, added: EXPERT Blue
Time: 76320, removed: EXPERT Green, added: EXPERT Blue
Time: 76440, removed: EXPERT Green, added: EXPERT Blue
Time: 76560, removed: EXPERT Green, added: EXPERT Blue
Time: 76680, removed: EXPERT Green, added: EXPERT Blue
Time: 76800, removed: EXPERT Green, added: EXPERT Blue
Time: 76920, removed: EXPERT Green, added: EXPERT Blue
Time: 77040, removed: EXPERT Green, added: EXPERT Blue
Time: 77160, removed: EXPERT Green, added: EXPERT Blue
Time: 77280, removed: EXPERT Green, added: EXPERT Blue
Time: 77400, removed: EXPERT Green, added: EXPERT Blue
Time: 77520, removed: EXPERT Green, added: EXPERT Blue
Time: 77640, removed: EXPERT Green, added: EXPERT Blue
Time: 77760, removed: EXPERT Green, added: EXPERT Blue
Time: 77880, removed: EXPERT Green, added: EXPERT Blue
Time: 78000, removed: EXPERT Green, added: EXPERT Blue
Time: 78120, removed: EXPERT Green, added: EXPERT Blue
Time: 78240, removed: EXPERT Green, added: EXPERT Blue
Time: 78360, removed: EXPERT Green, added: EXPERT Blue
Time: 78480, removed: EXPERT Green, added: EXPERT Blue
Time: 78600, removed: EXPERT Green, added: EXPERT Blue
Time: 78720, removed: EXPERT Green, added: EXPERT Blue
Time: 78840, removed: EXPERT Green, added: EXPERT Blue
Time: 78960, removed: EXPERT Green, added: EXPERT Blue
Time: 79080, removed: EXPERT Green, added: EXPERT Blue
Time: 79200, removed: EXPERT Green, added: EXPERT Blue
Time: 79320, removed: EXPERT Green, added: EXPERT Blue
Time: 79440, removed: EXPERT Green, added: EXPERT Blue
Time: 79560, removed: EXPERT Green, added: EXPERT Blue
Time: 79680, removed: EXPERT Green, added: EXPERT Blue
Time: 79800, removed: EXPERT Green, added: EXPERT Blue
Time: 79920, removed: EXPERT Green, added: EXPERT Blue
Time: 80040, removed: EXPERT Green, added: EXPERT Blue
Time: 80160, removed: EXPERT Green, added: EXPERT Blue
Time: 80280, removed: EXPERT Green, added: EXPERT Blue
Time: 80400, removed: EXPERT Green, added: EXPERT Blue
Time: 80520, removed: EXPERT Green, added: EXPERT Blue
Time: 80640, removed: EXPERT Green, added: EXPERT Blue
Time: 80760, removed: EXPERT Green, added: EXPERT Blue
Time: 80880, removed: EXPERT Green, added: EXPERT Blue
Time: 81000, removed: EXPERT Green, added: EXPERT Blue
Time: 81120, removed: EXPERT Green, added: EXPERT Blue
Time: 81240, removed: EXPERT Green, added: EXPERT Blue
Time: 82320, removed: EXPERT Blue, added: EXPERT Green
Time: 82440, removed: EXPERT Blue, added: EXPERT Green
Time: 82560, removed: EXPERT Green, added: EXPERT Blue
Time: 82680, removed: EXPERT Green, added: EXPERT Blue
Time: 82800, removed: EXPERT Green, added: EXPERT Blue
Time: 82920, removed: EXPERT Green, added: EXPERT Blue
Time: 83040, removed: EXPERT Green, added: EXPERT Blue
Time: 83160, removed: EXPERT Green, added: EXPERT Blue
Time: 83280, removed: EXPERT Green, added: EXPERT Blue
Time: 83400, removed: EXPERT Green, added: EXPERT Blue
Time: 83520, removed: EXPERT Green, added: EXPERT Blue
Time: 83640, removed: EXPERT Green, added: EXPERT Blue
Time: 83760, removed: EXPERT Green, added: EXPERT Blue
Time: 83880, removed: EXPERT Green, added: EXPERT Blue
Time: 84000, removed: EXPERT Green, added: EXPERT Blue
Time: 84120, removed: EXPERT Green, added: EXPERT Blue
Time: 84240, removed: EXPERT Green, added: EXPERT Blue
Time: 84360, removed: EXPERT Green, added: EXPERT Blue
Time: 84480, removed: EXPERT Green, added: EXPERT Blue
Time: 84600, removed: EXPERT Green, added: EXPERT Blue
Time: 84720, removed: EXPERT Green, added: EXPERT Blue
Time: 84840, removed: EXPERT Green, added: EXPERT Blue
Time: 84960, removed: EXPERT Green, added: EXPERT Blue
Time: 85080, removed: EXPERT Green, added: EXPERT Blue
Time: 85200, removed: EXPERT Green, added: EXPERT Blue
Time: 85320, removed: EXPERT Green, added: EXPERT Blue
Time: 85440, removed: EXPERT Green, added: EXPERT Blue
Time: 85560, removed: EXPERT Green, added: EXPERT Blue
Time: 85680, removed: EXPERT Green, added: EXPERT Blue
Time: 85800, removed: EXPERT Green, added: EXPERT Blue
Time: 85920, removed: EXPERT Green, added: EXPERT Blue
Time: 86040, removed: EXPERT Green, added: EXPERT Blue
Time: 86160, removed: EXPERT Green, added: EXPERT Blue
Time: 86280, removed: EXPERT Green, added: EXPERT Blue
Time: 86400, removed: EXPERT Green, added: EXPERT Blue
Time: 86520, removed: EXPERT Green, added: EXPERT Blue
Time: 86640, removed: EXPERT Green, added: EXPERT Blue
Time: 86760, removed: EXPERT Green, added: EXPERT Blue
Time: 86880, removed: EXPERT Green, added: EXPERT Blue
Time: 87000, removed: EXPERT Green, added: EXPERT Blue
Time: 87120, removed: EXPERT Green, added: EXPERT Blue
Time: 87240, removed: EXPERT Green, added: EXPERT Blue
Time: 87360, removed: EXPERT Green, added: EXPERT Blue
Time: 87480, removed: EXPERT Green, added: EXPERT Blue
Time: 87600, removed: EXPERT Green, added: EXPERT Blue
Time: 87720, removed: EXPERT Green, added: EXPERT Blue
Time: 87840, removed: EXPERT Green, added: EXPERT Blue
Time: 87960, removed: EXPERT Green, added: EXPERT Blue
Time: 88080, removed: EXPERT Green, added: EXPERT Blue
Time: 88200, removed: EXPERT Green, added: EXPERT Blue
Time: 88320, removed: EXPERT Green, added: EXPERT Blue
Time: 88440, removed: EXPERT Green, added: EXPERT Blue
Time: 88560, removed: EXPERT Green, added: EXPERT Blue
Time: 88680, removed: EXPERT Green, added: EXPERT Blue
Time: 88800, removed: EXPERT Green, added: EXPERT Blue
Time: 88920, removed: EXPERT Green, added: EXPERT Blue
Time: 89040, removed: EXPERT Green, added: EXPERT Blue
Time: 89160, removed: EXPERT Green, added: EXPERT Blue
Time: 89280, removed: EXPERT Green, added: EXPERT Blue
Time: 89400, removed: EXPERT Green, added: EXPERT Blue
Time: 89520, removed: EXPERT Green, added: EXPERT Blue
Time: 89640, removed: EXPERT Green, added: EXPERT Blue
Time: 89760, removed: EXPERT Green, added: EXPERT Blue
Time: 89880, removed: EXPERT Green, added: EXPERT Blue
Time: 90240, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 90360, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 90480, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 90600, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 90720, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 90840, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 90960, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 91080, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 91200, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 91320, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
Time: 91440, removed: MEDIUM Blue, HARD Blue, EASY Blue, EXPERT Blue, added: HARD Yellow, EASY Yellow, EXPERT Yellow, MEDIUM Yellow
