Differences found in track 'PART DRUMS':
Time: 61120, added: DRUM ROLL
Time: 61280, added: DRUM ROLL
Time: 61360, added: DRUM ROLL
Time: 61520, added: DRUM ROLL
Time: 64238, removed: DRUM ROLL
Time: 64238, removed: EXPERT Blue
Time: 64238, removed: EXPERT Blue
Time: 64240, added: EXPERT Blue
Time: 64240, added: EXPERT Blue
Time: 64240, added: DRUM ROLL
Time: 183000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 183240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 183480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 183720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 183960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 184200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 184440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 184680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 184920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 185160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 185400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 185640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 185880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 186120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 186360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 186600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 186840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 187080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 187320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 187560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 187800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 188040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 188280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 188520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 188760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 189000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 189240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 189480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 189720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 189960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 190200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 190440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 190680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 190920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 191160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 191400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 191640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 191880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 192120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 192360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 192600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 192840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 193080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 193320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 193560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 193800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 194040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 194280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 194520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 194760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 195000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 195240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 195480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 195720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 195960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 196200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 196440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 196680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 196920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 197160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 197400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 197640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 197840, added: EXPERT 2xKick
Time: 197918, added: EXPERT 2xKick
Time: 198080, added: EXPERT 2xKick
Time: 198158, added: EXPERT 2xKick
Time: 198360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 198600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 198800, added: EXPERT 2xKick
Time: 198878, added: EXPERT 2xKick
Time: 199040, added: EXPERT 2xKick
Time: 199118, added: EXPERT 2xKick
Time: 199118, added: TOM GEMS PAD 2
Time: 199120, removed: TOM GEMS PAD 2
Time: 199320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 199560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 199800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 200040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 200280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 200520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 200760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 201000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 201240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 201480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 219000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 219240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 219480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 219720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 219960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 220200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 220440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 220680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 220920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 222120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 222360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 222600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 222840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 223080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 223320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 223560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 223800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 224040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 224280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 224520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 242040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 242280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 242520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 242760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 243000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 243240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 243480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 243720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 243960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 244200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 244440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 244680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 244920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 245160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 245360, added: EXPERT 2xKick
Time: 245438, added: EXPERT 2xKick
Time: 245600, added: EXPERT 2xKick
Time: 245678, added: EXPERT 2xKick
Time: 245880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 246120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 246360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 246600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 246840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 247080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 247320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 247560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 247800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 248040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 248280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 248520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 248720, added: EXPERT 2xKick
Time: 248798, added: EXPERT 2xKick
Time: 248960, added: EXPERT 2xKick
Time: 249038, added: EXPERT 2xKick
Time: 249200, added: EXPERT 2xKick
Time: 249278, added: EXPERT 2xKick
Time: 249440, added: EXPERT 2xKick
Time: 249518, added: EXPERT 2xKick
Time: 249720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 249960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 251160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 251400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 251640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 251880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 252120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 252360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 252600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 252840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 253080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 253318, added: EXPERT 2xKick, EXPERT 2xKick
Time: 253560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 253800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 256200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 256440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 256680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 256920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 257160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 257400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 257640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 257880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 258120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 258360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 258600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 258840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 259080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 259320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 259560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 259800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 260040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 260240, added: EXPERT 2xKick
Time: 260318, added: EXPERT 2xKick
Time: 260480, added: EXPERT 2xKick
Time: 260558, added: EXPERT 2xKick
Time: 260720, added: EXPERT 2xKick
Time: 260798, added: EXPERT 2xKick
Time: 260960, added: EXPERT 2xKick
Time: 261038, added: EXPERT 2xKick
Time: 261240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 261480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 261720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 261960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 262200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 262440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 262680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 262920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 269758, removed: DRUM ROLL
Time: 269758, removed: HARD Green
Time: 269758, removed: EXPERT Green
Time: 269758, removed: EXPERT Green
Time: 269758, removed: EASY Green
Time: 269758, removed: MEDIUM Green
Time: 269758, removed: MEDIUM Green
Time: 269758, removed: EASY Green
Time: 269758, removed: HARD Green
Time: 269760, added: DRUM ROLL
Time: 269760, added: HARD Green
Time: 269760, added: EXPERT Green
Time: 269760, added: EXPERT Green
Time: 269760, added: EASY Green
Time: 269760, added: MEDIUM Green
Time: 269760, added: MEDIUM Green
Time: 269760, added: EASY Green
Time: 269760, added: HARD Green
Time: 271918, removed: DRUM ROLL
Time: 271918, removed: EXPERT Green
Time: 271918, removed: HARD Green
Time: 271918, removed: EXPERT Green
Time: 271918, removed: HARD Green
Time: 271920, added: DRUM ROLL
Time: 271920, added: EXPERT Green
Time: 271920, added: HARD Green
Time: 271920, added: EXPERT Green
Time: 271920, added: HARD Green
Differences found in track 'PART GUITAR':
Time: 11398, removed: EXPERT Red, LANE MARKER
Time: 11460, added: EXPERT Red
Time: 11460, added: EASY Green
Time: 11460, added: MEDIUM Green
Time: 11460, added: OVERDRIVE
Time: 11460, added: LANE MARKER
Time: 11460, added: Force HOPO Off
Time: 11460, added: HARD Green
Time: 11460, added: EXPERT Green
Time: 11520, removed: Force HOPO Off
Time: 11520, removed: EASY Green
Time: 11520, removed: MEDIUM Green
Time: 11520, removed: OVERDRIVE
Time: 11520, removed: Force HOPO Off
Time: 11520, removed: HARD Green
Time: 11520, removed: EXPERT Green
Time: 11578, added: EASY Green
Time: 11578, added: EXPERT Green
Time: 11578, added: MEDIUM Green
Time: 11578, added: Force HOPO Off
Time: 11578, added: HARD Green
Time: 11638, removed: MEDIUM Green
Time: 11638, removed: HARD Green
Time: 11638, removed: EXPERT Green
Time: 11638, removed: EASY Green
Time: 19078, removed: EXPERT Red, LANE MARKER
Time: 19140, added: EXPERT Red
Time: 19140, added: EASY Green
Time: 19140, added: MEDIUM Green
Time: 19140, added: Force HOPO Off
Time: 19140, added: HARD Green
Time: 19140, added: EXPERT Green
Time: 19140, added: LANE MARKER
Time: 19200, removed: Force HOPO Off
Time: 19200, removed: EASY Green
Time: 19200, removed: MEDIUM Green
Time: 19200, removed: Force HOPO Off
Time: 19200, removed: HARD Green
Time: 19200, removed: EXPERT Green
Time: 19258, added: EASY Green
Time: 19258, added: EXPERT Green
Time: 19258, added: MEDIUM Green
Time: 19258, added: Force HOPO Off
Time: 19258, added: HARD Green
Time: 19318, removed: MEDIUM Green
Time: 19318, removed: HARD Green
Time: 19318, removed: EXPERT Green
Time: 19318, removed: EASY Green
Time: 42118, removed: EXPERT Red, LANE MARKER
Time: 42180, added: EXPERT Red
Time: 42180, added: EASY Green
Time: 42180, added: MEDIUM Green
Time: 42180, added: Force HOPO Off
Time: 42180, added: HARD Green
Time: 42180, added: EXPERT Green
Time: 42180, added: LANE MARKER
Time: 42240, removed: Force HOPO Off
Time: 42240, removed: EASY Green
Time: 42240, removed: MEDIUM Green
Time: 42240, removed: Force HOPO Off
Time: 42240, removed: HARD Green
Time: 42240, removed: EXPERT Green
Time: 42298, added: EASY Green
Time: 42298, added: EXPERT Green
Time: 42298, added: MEDIUM Green
Time: 42298, added: Force HOPO Off
Time: 42298, added: HARD Green
Time: 42358, removed: MEDIUM Green
Time: 42358, removed: HARD Green
Time: 42358, removed: EXPERT Green
Time: 42358, removed: EASY Green
Time: 49798, removed: EXPERT Red, LANE MARKER
Time: 49860, added: EXPERT Red
Time: 49860, added: EASY Green
Time: 49860, added: MEDIUM Green
Time: 49860, added: OVERDRIVE
Time: 49860, added: LANE MARKER
Time: 49860, added: Force HOPO Off
Time: 49860, added: HARD Green
Time: 49860, added: EXPERT Green
Time: 49920, removed: Force HOPO Off
Time: 49920, removed: EASY Green
Time: 49920, removed: MEDIUM Green
Time: 49920, removed: Force HOPO Off
Time: 49920, removed: HARD Green
Time: 49920, removed: OVERDRIVE
Time: 49920, removed: EXPERT Green
Time: 49978, added: EASY Green
Time: 49978, added: EXPERT Green
Time: 49978, added: MEDIUM Green
Time: 49978, added: Force HOPO Off
Time: 49978, added: HARD Green
Time: 50038, removed: MEDIUM Green
Time: 50038, removed: HARD Green
Time: 50038, removed: EXPERT Green
Time: 50038, removed: EASY Green
Time: 57478, removed: EXPERT Red, LANE MARKER
Time: 57540, added: EXPERT Red
Time: 57540, added: EASY Green
Time: 57540, added: MEDIUM Green
Time: 57540, added: Force HOPO Off
Time: 57540, added: HARD Green
Time: 57540, added: EXPERT Green
Time: 57540, added: LANE MARKER
Time: 57600, removed: Force HOPO Off
Time: 57600, removed: EASY Green
Time: 57600, removed: MEDIUM Green
Time: 57600, removed: Force HOPO Off
Time: 57600, removed: HARD Green
Time: 57600, removed: EXPERT Green
Time: 57658, added: EASY Green
Time: 57658, added: EXPERT Green
Time: 57658, added: MEDIUM Green
Time: 57658, added: Force HOPO Off
Time: 57658, added: HARD Green
Time: 57718, removed: MEDIUM Green
Time: 57718, removed: HARD Green
Time: 57718, removed: EXPERT Green
Time: 57718, removed: EASY Green
Time: 65158, removed: EXPERT Red, LANE MARKER
Time: 65220, added: EXPERT Red
Time: 65220, added: EASY Green
Time: 65220, added: MEDIUM Green
Time: 65220, added: OVERDRIVE
Time: 65220, added: LANE MARKER
Time: 65220, added: Force HOPO Off
Time: 65220, added: HARD Green
Time: 65220, added: EXPERT Green
Time: 65280, removed: Force HOPO Off
Time: 65280, removed: EASY Green
Time: 65280, removed: MEDIUM Green
Time: 65280, removed: Force HOPO Off
Time: 65280, removed: HARD Green
Time: 65280, removed: OVERDRIVE
Time: 65280, removed: EXPERT Green
Time: 65338, added: EASY Green
Time: 65338, added: EXPERT Green
Time: 65338, added: MEDIUM Green
Time: 65338, added: Force HOPO Off
Time: 65338, added: HARD Green
Time: 65398, removed: MEDIUM Green
Time: 65398, removed: HARD Green
Time: 65398, removed: EXPERT Green
Time: 65398, removed: EASY Green
Time: 72838, removed: EXPERT Red, LANE MARKER
Time: 72900, added: EXPERT Red
Time: 72900, added: EASY Green
Time: 72900, added: MEDIUM Green
Time: 72900, added: Force HOPO Off
Time: 72900, added: HARD Green
Time: 72900, added: EXPERT Green
Time: 72900, added: LANE MARKER
Time: 72960, removed: Force HOPO Off
Time: 72960, removed: EASY Green
Time: 72960, removed: MEDIUM Green
Time: 72960, removed: Force HOPO Off
Time: 72960, removed: HARD Green
Time: 72960, removed: EXPERT Green
Time: 73018, added: EASY Green
Time: 73018, added: EXPERT Green
Time: 73018, added: MEDIUM Green
Time: 73018, added: Force HOPO Off
Time: 73018, added: HARD Green
Time: 73078, removed: MEDIUM Green
Time: 73078, removed: HARD Green
Time: 73078, removed: EXPERT Green
Time: 73078, removed: EASY Green
Time: 80518, removed: EXPERT Red, LANE MARKER
Time: 80580, added: EXPERT Red
Time: 80580, added: EASY Green
Time: 80580, added: MEDIUM Green
Time: 80580, added: MEDIUM Red
Time: 80580, added: HARD Red
Time: 80580, added: LANE MARKER
Time: 80580, added: Force HOPO Off
Time: 80580, added: HARD Green
Time: 80580, added: EXPERT Red
Time: 80580, added: EXPERT Green
Time: 80640, removed: EASY Green
Time: 80640, removed: MEDIUM Green
Time: 80640, removed: MEDIUM Red
Time: 80640, removed: HARD Red
Time: 80640, removed: Force HOPO Off
Time: 80640, removed: Force HOPO Off
Time: 80640, removed: HARD Green
Time: 80640, removed: EXPERT Red
Time: 80640, removed: EXPERT Green
Time: 80698, added: HARD Red
Time: 80698, added: EXPERT Red
Time: 80698, added: MEDIUM Green
Time: 80698, added: EASY Green
Time: 80698, added: MEDIUM Red
Time: 80698, added: Force HOPO Off
Time: 80698, added: EXPERT Green
Time: 80698, added: HARD Green
Time: 80758, removed: HARD Red
Time: 80758, removed: EXPERT Red
Time: 80758, removed: EASY Green
Time: 80758, removed: EXPERT Green
Time: 80758, removed: MEDIUM Green
Time: 80758, removed: HARD Green
Time: 80758, removed: MEDIUM Red
Time: 126584, removed: HARD Red
Time: 126584, removed: EXPERT Red
Time: 126584, removed: EXPERT Yellow
Time: 126584, removed: LANE MARKER
Time: 126598, added: HARD Red
Time: 126598, added: EXPERT Red
Time: 126598, added: EXPERT Yellow
Time: 126658, removed: EXPERT Red
Time: 126660, added: EXPERT Red
Time: 126660, added: EASY Green
Time: 126660, added: MEDIUM Green
Time: 126660, added: OVERDRIVE
Time: 126660, added: LANE MARKER
Time: 126660, added: Force HOPO Off
Time: 126660, added: HARD Green
Time: 126660, added: EXPERT Green
Time: 126720, removed: Force HOPO Off
Time: 126720, removed: EASY Green
Time: 126720, removed: MEDIUM Green
Time: 126720, removed: Force HOPO Off
Time: 126720, removed: HARD Green
Time: 126720, removed: OVERDRIVE
Time: 126720, removed: EXPERT Green
Time: 126778, added: EASY Green
Time: 126778, added: EXPERT Green
Time: 126778, added: MEDIUM Green
Time: 126778, added: Force HOPO Off
Time: 126778, added: HARD Green
Time: 126838, removed: MEDIUM Green
Time: 126838, removed: HARD Green
Time: 126838, removed: EXPERT Green
Time: 126838, removed: EASY Green
Time: 134278, removed: EXPERT Red, LANE MARKER
Time: 134340, added: EXPERT Red
Time: 134340, added: EASY Green
Time: 134340, added: MEDIUM Green
Time: 134340, added: MEDIUM Red
Time: 134340, added: HARD Red
Time: 134340, added: LANE MARKER
Time: 134340, added: Force HOPO Off
Time: 134340, added: HARD Green
Time: 134340, added: EXPERT Red
Time: 134340, added: EXPERT Green
Time: 134400, removed: EASY Green
Time: 134400, removed: MEDIUM Green
Time: 134400, removed: MEDIUM Red
Time: 134400, removed: HARD Red
Time: 134400, removed: Force HOPO Off
Time: 134400, removed: Force HOPO Off
Time: 134400, removed: HARD Green
Time: 134400, removed: EXPERT Red
Time: 134400, removed: EXPERT Green
Time: 134458, added: HARD Red
Time: 134458, added: EXPERT Red
Time: 134458, added: MEDIUM Green
Time: 134458, added: EASY Green
Time: 134458, added: MEDIUM Red
Time: 134458, added: Force HOPO Off
Time: 134458, added: EXPERT Green
Time: 134458, added: HARD Green
Time: 134518, removed: HARD Red
Time: 134518, removed: EXPERT Red
Time: 134518, removed: EASY Green
Time: 134518, removed: EXPERT Green
Time: 134518, removed: MEDIUM Green
Time: 134518, removed: HARD Green
Time: 134518, removed: MEDIUM Red
Time: 207058, removed: EXPERT Blue, LANE MARKER
Time: 207120, added: EXPERT Blue, LANE MARKER
Time: 210478, removed: Solo Marker
Time: 210480, added: Solo Marker
Time: 251838, removed: LANE MARKER
Time: 251900, added: LANE MARKER
Time: 251900, added: EXPERT Blue
Time: 251900, added: EXPERT Orange
Time: 251918, removed: EXPERT Blue
Time: 251918, removed: EXPERT Orange
Time: 252958, removed: LANE MARKER
Time: 253020, added: LANE MARKER
Time: 253020, added: EXPERT Orange
Time: 253020, added: HARD Orange
Time: 253020, added: EXPERT Blue
Time: 253020, added: MEDIUM Blue
Time: 253038, removed: EXPERT Blue
Time: 253038, removed: HARD Orange
Time: 253038, removed: EXPERT Orange
