Differences found in track 'PART DRUMS':
Time: 102720, removed: DRUM ROLL
Time: 34545, added: EXPERT Green
Time: 34560, removed: HARD Blue
Time: 34560, removed: EXPERT Orange
Time: 34560, removed: Force HOPO On
Time: 34560, removed: EXPERT Green
Time: 51280, removed: LANE MARKER
Time: 51345, added: HARD Blue
Time: 51345, added: EXPERT Orange
Time: 51345, added: Force HOPO On
Time: 51345, added: EXPERT Green
Time: 51345, added: LANE MARKER
Time: 51345, added: MEDIUM Blue
Time: 51360, removed: HARD Blue
Time: 51360, removed: EXPERT Orange
Time: 51360, removed: Force HOPO On
Time: 51360, removed: EXPERT Green
Time: 51360, removed: MEDIUM Blue
Time: 51760, removed: LANE MARKER
Time: 51840, added: LANE MARKER
Time: 55120, removed: LANE MARKER
Time: 55185, added: HARD Blue
Time: 55185, added: EXPERT Orange
Time: 55185, added: Force HOPO On
Time: 55185, added: LANE MARKER
Time: 55185, added: EXPERT Green
Time: 55185, added: MEDIUM Blue
Time: 55200, removed: HARD Blue
Time: 55200, removed: EXPERT Orange
Time: 55200, removed: Force HOPO On
Time: 55200, removed: EXPERT Green
Time: 55200, removed: MEDIUM Blue
Time: 55600, removed: LANE MARKER
Time: 55680, added: LANE MARKER
Time: 58960, removed: LANE MARKER
Time: 59025, added: HARD Blue
Time: 59025, added: EXPERT Orange
Time: 59025, added: Force HOPO On
Time: 59025, added: LANE MARKER
Time: 59025, added: EXPERT Green
Time: 59025, added: MEDIUM Blue
Time: 59040, removed: HARD Blue
Time: 59040, removed: EXPERT Orange
Time: 59040, removed: Force HOPO On
Time: 59040, removed: EXPERT Green
Time: 59040, removed: MEDIUM Blue
Time: 59440, removed: LANE MARKER
Time: 59520, added: LANE MARKER
Time: 62800, removed: LANE MARKER
Time: 62865, added: HARD Blue
Time: 62865, added: EXPERT Orange
Time: 62865, added: Force HOPO On
Time: 62865, added: LANE MARKER
Time: 62865, added: EXPERT Green
Time: 62865, added: MEDIUM Blue
Time: 62880, removed: HARD Blue
Time: 62880, removed: EXPERT Orange
Time: 62880, removed: Force HOPO On
Time: 62880, removed: EXPERT Green
Time: 62880, removed: MEDIUM Blue
Time: 63280, removed: LANE MARKER
Time: 63360, added: LANE MARKER
Time: 70480, removed: LANE MARKER
Time: 70545, added: HARD Blue
Time: 70545, added: EXPERT Orange
Time: 70545, added: Force HOPO On
Time: 70545, added: LANE MARKER
Time: 70545, added: EXPERT Green
Time: 70545, added: MEDIUM Blue
Time: 70560, removed: HARD Blue
Time: 70560, removed: EXPERT Orange
Time: 70560, removed: Force HOPO On
Time: 70560, removed: EXPERT Green
Time: 70560, removed: MEDIUM Blue
Time: 70960, removed: LANE MARKER
Time: 71040, added: LANE MARKER
Time: 126160, removed: LANE MARKER
Time: 126225, added: EXPERT Blue
Time: 126225, added: LANE MARKER
Time: 126225, added: Force HOPO On
Time: 126225, added: MEDIUM Yellow
Time: 126225, added: EXPERT Green
Time: 126225, added: HARD Yellow
Time: 126240, removed: EXPERT Blue
Time: 126240, removed: Force HOPO On
Time: 126240, removed: MEDIUM Yellow
Time: 126240, removed: EXPERT Green
Time: 126240, removed: HARD Yellow
Time: 126640, removed: LANE MARKER
Time: 126720, added: LANE MARKER
Time: 130000, removed: LANE MARKER
Time: 130065, added: EXPERT Blue
Time: 130065, added: LANE MARKER
Time: 130065, added: Force HOPO On
Time: 130065, added: MEDIUM Yellow
Time: 130065, added: EXPERT Green
Time: 130065, added: HARD Yellow
Time: 130080, removed: EXPERT Blue
Time: 130080, removed: Force HOPO On
Time: 130080, removed: MEDIUM Yellow
Time: 130080, removed: EXPERT Green
Time: 130080, removed: HARD Yellow
Time: 130480, removed: LANE MARKER
Time: 130560, added: LANE MARKER
Time: 133840, removed: LANE MARKER
Time: 133905, added: EXPERT Blue
Time: 133905, added: LANE MARKER
Time: 133905, added: Force HOPO On
Time: 133905, added: MEDIUM Yellow
Time: 133905, added: EXPERT Green
Time: 133905, added: HARD Yellow
Time: 133920, removed: EXPERT Blue
Time: 133920, removed: Force HOPO On
Time: 133920, removed: MEDIUM Yellow
Time: 133920, removed: EXPERT Green
Time: 133920, removed: HARD Yellow
Time: 134320, removed: LANE MARKER
Time: 134400, added: LANE MARKER
Time: 137680, removed: LANE MARKER
Time: 137745, added: EXPERT Blue
Time: 137745, added: LANE MARKER
Time: 137745, added: Force HOPO On
Time: 137745, added: MEDIUM Yellow
Time: 137745, added: EXPERT Green
Time: 137745, added: HARD Yellow
Time: 137760, removed: EXPERT Blue
Time: 137760, removed: Force HOPO On
Time: 137760, removed: MEDIUM Yellow
Time: 137760, removed: EXPERT Green
Time: 137760, removed: HARD Yellow
Time: 138160, removed: LANE MARKER
Time: 138240, added: LANE MARKER
Time: 145360, removed: LANE MARKER
Time: 145425, added: EXPERT Blue
Time: 145425, added: LANE MARKER
Time: 145425, added: Force HOPO On
Time: 145425, added: MEDIUM Yellow
Time: 145425, added: EXPERT Green
Time: 145425, added: HARD Yellow
Time: 145440, removed: EXPERT Blue
Time: 145440, removed: Force HOPO On
Time: 145440, removed: MEDIUM Yellow
Time: 145440, removed: EXPERT Green
Time: 145440, removed: HARD Yellow
Time: 145840, removed: LANE MARKER
Time: 145920, added: LANE MARKER
