New track in update: 'energy_rbn'
Differences found in track 'PART BASS':
Time: 174720, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 174840, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 175560, removed: MEDIUM Yellow, added: MEDIUM Blue
Time: 175680, removed: MEDIUM Yellow, added: MEDIUM Blue
Time: 175920, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 176040, removed: MEDIUM Yellow, EASY Red, added: EASY Blue, MEDIUM Blue
Time: 176640, removed: EASY Green, added: EASY Red
Time: 176760, removed: EASY Green, added: EASY Red
Time: 177840, removed: EASY Green, added: EASY Red
Time: 177960, removed: EASY Green, added: EASY Red
Time: 178560, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 178680, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 179400, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 179520, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 179760, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 179880, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Differences found in track 'PART DRUMS':
Time: 14280, added: EXPERT Red
Time: 64320, added: EXPERT Red
Time: 64440, added: EXPERT Red
Time: 64560, added: EXPERT Red
Time: 65160, added: EXPERT Red
Time: 65280, added: EXPERT Red
Time: 66120, added: EXPERT Red
Time: 66240, added: EXPERT Red
Time: 66360, added: EXPERT Red
Time: 66480, added: EXPERT Red
Time: 67080, added: EXPERT Red
Time: 67200, added: EXPERT Red
Time: 68040, added: EXPERT Red
Time: 68160, added: EXPERT Red
Time: 68280, added: EXPERT Red
Time: 68400, added: EXPERT Red
Time: 69000, added: EXPERT Red
Time: 69120, added: EXPERT Red
Time: 69960, added: EXPERT Red
Time: 70080, added: EXPERT Red
Time: 70200, added: EXPERT Red
Time: 70320, added: EXPERT Red
Time: 70920, added: EXPERT Red
Time: 71040, added: EXPERT Red
Time: 71880, added: EXPERT Red
Time: 72000, added: EXPERT Red
Time: 72120, added: EXPERT Red
Time: 72240, added: EXPERT Red
Time: 72840, added: EXPERT Red
Time: 72960, added: EXPERT Red
Time: 74880, removed: MEDIUM Green, HARD Green, EASY Green, EXPERT Green, added: HARD Blue, EASY Blue, EXPERT Blue, MEDIUM Blue
Time: 75000, removed: MEDIUM Green, HARD Green, EASY Green, EXPERT Green, added: HARD Blue, EASY Blue, EXPERT Blue, MEDIUM Blue
Time: 78000, removed: MEDIUM Red
Time: 78120, removed: MEDIUM Red
Time: 85680, removed: MEDIUM Red
Time: 85800, removed: MEDIUM Red
Time: 91080, added: EXPERT Red
Time: 91200, added: EXPERT Red
Time: 91320, added: EXPERT Red
Time: 91440, added: EXPERT Red
Time: 92040, added: EXPERT Red
Time: 92160, added: EXPERT Red
Time: 93000, added: EXPERT Red
Time: 93120, added: EXPERT Red
Time: 93240, added: EXPERT Red
Time: 93360, added: EXPERT Red
Time: 93960, added: EXPERT Red
Time: 94080, added: EXPERT Red
Time: 94920, added: EXPERT Red
Time: 95040, added: EXPERT Red
Time: 95160, added: EXPERT Red
Time: 95280, added: EXPERT Red
Time: 95880, added: EXPERT Red
Time: 96000, added: EXPERT Red
Time: 96840, added: EXPERT Red
Time: 96960, added: EXPERT Red
Time: 97080, added: EXPERT Red
Time: 98760, added: EXPERT Red
Time: 98880, added: EXPERT Red
Time: 99000, added: EXPERT Red
Time: 99120, added: EXPERT Red
Time: 99720, added: EXPERT Red
Time: 99840, added: EXPERT Red
Time: 100680, added: EXPERT Red
Time: 100800, added: EXPERT Red
Time: 100920, added: EXPERT Red
Time: 101040, added: EXPERT Red
Time: 101640, added: EXPERT Red
Time: 101760, added: EXPERT Red
Time: 102600, added: EXPERT Red
Time: 102720, added: EXPERT Red
Time: 102840, added: EXPERT Red
Time: 102960, added: EXPERT Red
Time: 103560, added: EXPERT Red
Time: 103680, added: EXPERT Red
Time: 104160, removed: EASY Yellow
Time: 104280, removed: EASY Yellow
Time: 105120, removed: HARD Red, EASY Red, MEDIUM Red, added: HARD Blue, EXPERT Blue, TOM GEMS PAD 3, EASY Blue, MEDIUM Blue
Time: 105240, removed: HARD Red, EASY Red, MEDIUM Red, added: HARD Blue, EXPERT Blue, TOM GEMS PAD 3, EASY Blue, MEDIUM Blue
Time: 106440, added: EXPERT Red
Time: 106560, added: EXPERT Red
Time: 106680, added: EXPERT Red
Time: 106800, added: EXPERT Red
Time: 107400, added: EXPERT Red
Time: 107520, added: EXPERT Red
Time: 108360, added: EXPERT Red
Time: 108480, added: EXPERT Red
Time: 108600, added: EXPERT Red
Time: 108720, added: EXPERT Red
Time: 109320, added: EXPERT Red
Time: 109440, added: EXPERT Red
Time: 110280, added: EXPERT Red
Time: 110400, added: EXPERT Red
Time: 110520, added: EXPERT Red
Time: 110640, added: EXPERT Red
Time: 111240, added: EXPERT Red
Time: 111360, added: EXPERT Red
Time: 112200, added: EXPERT Red
Time: 112320, added: EXPERT Red
Time: 112440, added: EXPERT Red
Time: 112560, added: EXPERT Red
Time: 113160, added: EXPERT Red
Time: 113280, added: EXPERT Red
Time: 114120, added: EXPERT Red
Time: 114240, added: EXPERT Red
Time: 114360, added: EXPERT Red
Time: 114480, added: EXPERT Red
Time: 115080, added: EXPERT Red
Time: 115200, added: EXPERT Red
Time: 116040, added: EXPERT Red
Time: 116160, added: EXPERT Red
Time: 116280, added: EXPERT Red
Time: 116400, added: EXPERT Red
Time: 117000, added: EXPERT Red
Time: 117120, added: EXPERT Red
Time: 117960, added: EXPERT Red
Time: 118080, added: EXPERT Red
Time: 118200, added: EXPERT Red
Time: 118320, added: EXPERT Red
Time: 118920, added: EXPERT Red
Time: 119040, added: EXPERT Red
Time: 121800, added: EXPERT Red
Time: 121920, added: EXPERT Red
Time: 122040, added: EXPERT Red
Time: 122160, added: EXPERT Red
Time: 122760, added: EXPERT Red
Time: 122880, added: EXPERT Red
Time: 123720, added: EXPERT Red
Time: 123840, added: EXPERT Red
Time: 123960, added: EXPERT Red
Time: 124080, added: EXPERT Red
Time: 124680, added: EXPERT Red
Time: 124800, added: EXPERT Red
Time: 125640, added: EXPERT Red
Time: 125760, added: EXPERT Red
Time: 125880, added: EXPERT Red
Time: 126000, added: EXPERT Red
Time: 126600, added: EXPERT Red
Time: 126720, added: EXPERT Red
Time: 127560, added: EXPERT Red
Time: 127680, added: EXPERT Red
Time: 127800, added: EXPERT Red
Time: 127920, added: EXPERT Red
Time: 128520, added: EXPERT Red
Time: 128640, added: EXPERT Red
Time: 129480, added: EXPERT Red
Time: 129600, added: EXPERT Red
Time: 129720, added: EXPERT Red
Time: 129840, added: EXPERT Red
Time: 130440, added: EXPERT Red
Time: 130560, added: EXPERT Red
Time: 131400, added: EXPERT Red
Time: 131520, added: EXPERT Red
Time: 131640, added: EXPERT Red
Time: 131760, added: EXPERT Red
Time: 132360, added: EXPERT Red
Time: 132480, added: EXPERT Red
Time: 133320, added: EXPERT Red
Time: 133440, added: EXPERT Red
Time: 133560, added: EXPERT Red
Time: 133680, added: EXPERT Red
Time: 134280, added: EXPERT Red
Time: 134400, added: EXPERT Red
Time: 137160, added: EXPERT Red
Time: 137280, added: EXPERT Red
Time: 137400, added: EXPERT Red
Time: 137520, added: EXPERT Red
Time: 138120, added: EXPERT Red
Time: 138240, added: EXPERT Red
Time: 139080, added: EXPERT Red
Time: 139200, added: EXPERT Red
Time: 139320, added: EXPERT Red
Time: 139440, added: EXPERT Red
Time: 140040, added: EXPERT Red
Time: 140160, added: EXPERT Red
Time: 141000, added: EXPERT Red
Time: 141120, added: EXPERT Red
Time: 141240, added: EXPERT Red
Time: 141360, added: EXPERT Red
Time: 141960, added: EXPERT Red
Time: 142080, added: EXPERT Red
Time: 142560, removed: EASY Yellow
Time: 142680, removed: EASY Yellow
Time: 143040, removed: MEDIUM Kick
Time: 143160, removed: MEDIUM Kick
Time: 143520, removed: EASY Red, added: EASY Blue, TOM GEMS PAD 3
Time: 143640, removed: EASY Red, added: EASY Blue, TOM GEMS PAD 3
Time: 144840, added: EXPERT Red
Time: 144960, added: EXPERT Red
Time: 145080, added: EXPERT Red
Time: 145200, added: EXPERT Red
Time: 145800, added: EXPERT Red
Time: 145920, added: EXPERT Red
Time: 146760, added: EXPERT Red
Time: 146880, added: EXPERT Red
Time: 147000, added: EXPERT Red
Time: 147120, added: EXPERT Red
Time: 147720, added: EXPERT Red
Time: 147840, added: EXPERT Red
Time: 148680, added: EXPERT Red
Time: 148800, added: EXPERT Red
Time: 148920, added: EXPERT Red
Time: 149040, added: EXPERT Red
Time: 149640, added: EXPERT Red
Time: 149760, added: EXPERT Red
Time: 150600, added: EXPERT Red
Time: 150720, added: EXPERT Red
Time: 150840, added: EXPERT Red
Time: 150960, added: EXPERT Red
Time: 151560, added: EXPERT Red
Time: 151680, removed: HARD Yellow, added: EXPERT Red
Time: 151800, removed: HARD Yellow
Time: 152520, added: EXPERT Red
Time: 152640, added: EXPERT Red
Time: 152760, added: EXPERT Red
Time: 152880, added: EXPERT Red
Time: 153480, added: EXPERT Red
Time: 153600, added: EXPERT Red
Time: 154440, added: EXPERT Red
Time: 154560, added: EXPERT Red
Time: 154680, added: EXPERT Red
Time: 154800, added: EXPERT Red
Time: 155400, added: EXPERT Red
Time: 155520, added: EXPERT Red
Time: 156360, added: EXPERT Red
Time: 156480, added: EXPERT Red
Time: 156600, added: EXPERT Red
Time: 156720, added: EXPERT Red
Time: 157320, added: EXPERT Red
Time: 157440, added: EXPERT Red
Time: 158280, added: EXPERT Red
Time: 158400, added: EXPERT Red
Time: 158520, added: EXPERT Red
Time: 158640, added: EXPERT Red
Time: 159240, added: EXPERT Red
Time: 159360, added: EXPERT Red
Time: 160200, added: EXPERT Red
Time: 160320, added: EXPERT Red
Time: 160440, added: EXPERT Red
Time: 160560, added: EXPERT Red
Time: 161160, added: EXPERT Red
Time: 161280, added: EXPERT Red
Time: 162120, added: EXPERT Red
Time: 162240, added: EXPERT Red
Time: 162360, added: EXPERT Red
Time: 162480, added: EXPERT Red
Time: 163080, added: EXPERT Red
Time: 163200, added: EXPERT Red
Time: 164040, added: EXPERT Red
Time: 164160, added: EXPERT Red
Time: 164280, added: EXPERT Red
Time: 164400, added: EXPERT Red
Time: 165000, added: EXPERT Red
Time: 165120, added: EXPERT Red
Time: 166080, removed: EASY Red, added: MEDIUM Yellow, EASY Yellow
Time: 166200, removed: EASY Red, added: MEDIUM Yellow, EXPERT Red, EASY Yellow
Time: 167880, added: EXPERT Red
Time: 168000, added: EXPERT Red
Time: 168120, added: EXPERT Red
Time: 168240, added: EXPERT Red
Time: 168840, added: EXPERT Red
Time: 168960, added: EXPERT Red
Time: 169800, added: EXPERT Red
Time: 169920, added: EXPERT Red
Time: 170040, added: EXPERT Red
Time: 170160, added: EXPERT Red
Time: 170760, added: EXPERT Red
Time: 170880, added: EXPERT Red
Time: 171720, added: EXPERT Red
Time: 171840, added: EXPERT Red
Time: 171960, added: EXPERT Red
Time: 172080, added: EXPERT Red
Time: 172680, added: EXPERT Red
Time: 172800, added: EXPERT Red
Time: 173280, removed: EASY Yellow
Time: 173400, removed: EASY Yellow
Time: 174240, removed: HARD Red, EASY Red, MEDIUM Red, added: HARD Blue, EXPERT Blue, TOM GEMS PAD 3, EASY Blue, MEDIUM Blue
Time: 174360, removed: HARD Red, EASY Red, MEDIUM Red, added: HARD Blue, EXPERT Blue, TOM GEMS PAD 3, EASY Blue, MEDIUM Blue
Time: 175560, added: EXPERT Red
Time: 175680, added: EXPERT Red
Time: 175800, added: EXPERT Red
Time: 175920, added: EXPERT Red
Time: 176520, added: EXPERT Red
Time: 176640, added: EXPERT Red
Time: 177480, added: EXPERT Red
Time: 177600, added: EXPERT Red
Time: 177720, added: EXPERT Red
Time: 177840, added: EXPERT Red
Time: 178440, added: EXPERT Red
Time: 178560, added: EXPERT Red
Time: 179400, added: EXPERT Red
Time: 179520, added: EXPERT Red
Time: 179640, added: EXPERT Red
Time: 179760, added: EXPERT Red
Time: 180360, added: EXPERT Red
Time: 180480, added: EXPERT Red
Time: 181440, removed: EASY Red
Time: 181560, removed: EASY Red
Text differences found in track 'PART DRUMS':
Time: 181919, Text event changed from '[no event]' to '[idle_realtime]'
Time: 181920, Text event changed from '[idle_realtime]' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 172800, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 173280, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 173730, removed: EASY Red, MEDIUM Red, added: EASY Blue, MEDIUM Blue
Time: 175197, added: MEDIUM Blue
Time: 175200, removed: MEDIUM Red
Time: 175680, removed: EASY Red, added: EASY Blue
Text differences found in track 'PART VOCALS':
Time: 182399, Text event changed from '[no event]' to '[idle_realtime]'
Time: 182400, Text event changed from '[idle_realtime]' to '[no event]'
